Concepts	Question
automated essay scoring;neural summarization;social network extraction;neural machine translation;information extraction	I already know about automated essay scoring , neural summarization , social network extraction , neural machine translation and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
social media analysis;sentence simplification;word embedding;relation extraction;text mining	I already know about social media analysis , sentence simplification , word embedding , relation extraction and text mining.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
thesaurus-based similarity;multilingual word embedding;vector semantics;recommendation system;context free grammars	I already know about thesaurus-based similarity , multilingual word embedding , vector semantics , recommendation system and context free grammars.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
toolkits for information retrieval;social network extraction;social media analysis;citation networks;information extraction	I already know about toolkits for information retrieval , social network extraction , social media analysis , citation networks and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
document ranking;information retrieval;text mining;information extraction	I already know about document ranking , information retrieval , text mining and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
sentence simplification;semantic similarity;word sense disambiguation;linear discriminant analysis;kernels	I already know about sentence simplification , semantic similarity , word sense disambiguation , linear discriminant analysis and kernels.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
text mining;word sense disambiguation;information extraction	I already know about text mining , word sense disambiguation and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
speech processing;speech synthesis;text to speech generation;speech signal analysis	I already know about speech processing , speech synthesis , text to speech generation and speech signal analysis.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
multilingual word embedding;syntaxnet;word embedding;word sense disambiguation;word embedding variations	I already know about multilingual word embedding , syntaxnet , word embedding , word sense disambiguation and word embedding variations.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
structured learning;context free grammars;course introduction;tsne	I already know about structured learning , context free grammars , course introduction and tsne.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
memory networks;spectral clustering;tsne;neural parsing;Unsupervised learning	I already know about memory networks , spectral clustering , tsne , neural parsing and Unsupervised learning.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
evaluation of language modeling;character level language models;text generation;language modeling	I already know about evaluation of language modeling , character level language models , text generation and language modeling.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
dependency parsing;syntaxnet;statistical parsing;neural parsing;first-order logic	I already know about dependency parsing , syntaxnet , statistical parsing , neural parsing and first-order logic.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
structured learning;n-gram models;word sense disambiguation;kernels;word embedding variations	I already know about structured learning , n-gram models , word sense disambiguation , kernels and word embedding variations.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
sentiment analysis;neural question answering;tsne;Autoencoders	I already know about sentiment analysis , neural question answering , tsne and Autoencoders.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
event detection;dependency parsing;syntaxnet;semi supervised learning;evaluation of dependency parsing	I already know about event detection , dependency parsing , syntaxnet , semi supervised learning and evaluation of dependency parsing.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
discourse analysis;vector semantics;morphology and semantics in machine translation;word segmentation;knowledge representation	I already know about discourse analysis , vector semantics , morphology and semantics in machine translation , word segmentation and knowledge representation.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
kernel function;expectation maximization algorithm;Mixture Models	I already know about kernel function , expectation maximization algorithm and Mixture Models.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
pointer networks;graph convolutional networks;recursive neural networks;training neural networks	I already know about pointer networks , graph convolutional networks , recursive neural networks and training neural networks.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
neural question answering;social media analysis;topic modeling;relation extraction;word embedding variations	I already know about neural question answering , social media analysis , topic modeling , relation extraction and word embedding variations.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
nlp for biology;social media analysis;document representation;bio text mining;information extraction	I already know about nlp for biology , social media analysis , document representation , bio text mining and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
morphology and semantics in machine translation;machine translation techniques;syntax based machine translation;noisy channel model	I already know about morphology and semantics in machine translation , machine translation techniques , syntax based machine translation and noisy channel model.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
markov decision processes;latent dirichlet allocation;markov chain monte carlo;Markov chains	I already know about markov decision processes , latent dirichlet allocation , markov chain monte carlo and Markov chains.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
syntax;dependency syntax;shift-reduce parsing;first-order logic	I already know about syntax , dependency syntax , shift-reduce parsing and first-order logic.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
logic and logical agents;robotic locomotion;adversarial search;propositional logic;agent-based view of ai	I already know about logic and logical agents , robotic locomotion , adversarial search , propositional logic and agent-based view of ai.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
evaluation of language modeling;neural language modeling;character level language models;text generation;language modeling	I already know about evaluation of language modeling , neural language modeling , character level language models , text generation and language modeling.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
social network extraction;citation networks;text mining;query expansion;information extraction	I already know about social network extraction , citation networks , text mining , query expansion and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
structured learning;multilingual word embedding;neural machine translation;relation extraction;word embedding variations	I already know about structured learning , multilingual word embedding , neural machine translation , relation extraction and word embedding variations.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
cky parsing;context sensitive grammar;context free grammar	I already know about cky parsing , context sensitive grammar and context free grammar.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
syntaxnet;penn treebank;dependency syntax	I already know about syntaxnet , penn treebank and dependency syntax.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
toolkits for information retrieval;social media analysis;information retrieval;information extraction	I already know about toolkits for information retrieval , social media analysis , information retrieval and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
citation networks;graph-based nlp;pagerank	I already know about citation networks , graph-based nlp and pagerank.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
question answering;bayesian network;hidden markov models;bayes theorem;course introduction	I already know about question answering , bayesian network , hidden markov models , bayes theorem and course introduction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
pointer networks;memory networks;neural question answering;speech synthesis;Unsupervised learning	I already know about pointer networks , memory networks , neural question answering , speech synthesis and Unsupervised learning.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
automated essay scoring;structured learning;evaluation of language modeling;vector semantics;document representation	I already know about automated essay scoring , structured learning , evaluation of language modeling , vector semantics and document representation.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
dependency parsing;lexicalized parsing;neural parsing	I already know about dependency parsing , lexicalized parsing and neural parsing.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
robotics;propositional logic;agent-based view of ai	I already know about robotics , propositional logic and agent-based view of ai.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
machine translation;morphology and semantics in machine translation;syntax based machine translation;the ibm models	I already know about machine translation , morphology and semantics in machine translation , syntax based machine translation and the ibm models.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
bio text mining;language modeling;kernels	I already know about bio text mining , language modeling and kernels.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
multilingual word embedding;word sense disambiguation;word embedding variations	I already know about multilingual word embedding , word sense disambiguation and word embedding variations.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
a* search;uncertainty;robotic locomotion;heuristic search;agent-based view of ai	I already know about a* search , uncertainty , robotic locomotion , heuristic search and agent-based view of ai.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
multilingual word embedding;syntaxnet;word embedding;word embedding variations	I already know about multilingual word embedding , syntaxnet , word embedding and word embedding variations.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
graph convolutional networks;neural language modeling;k means	I already know about graph convolutional networks , neural language modeling and k means.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
semi-supervised learning;recursive neural networks;neural networks;stack lstm;training neural networks	I already know about semi-supervised learning , recursive neural networks , neural networks , stack lstm and training neural networks.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
robotics;expert systems;adversarial search	I already know about robotics , expert systems and adversarial search.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
graph convolutional networks;k means;neural parsing;training neural networks;agent-based view of ai	I already know about graph convolutional networks , k means , neural parsing , training neural networks and agent-based view of ai.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
syntaxnet;word embedding;neural machine translation;stack lstm	I already know about syntaxnet , word embedding , neural machine translation and stack lstm.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
semantic parsing;classic parsing methods;transition based dependency parsing	I already know about semantic parsing , classic parsing methods and transition based dependency parsing.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
search;uncertainty;informed search;expert systems;propositional logic	I already know about search , uncertainty , informed search , expert systems and propositional logic.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
automated essay scoring;neural language modeling;sentence representations;word embedding variations	I already know about automated essay scoring , neural language modeling , sentence representations and word embedding variations.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
document ranking;social network extraction;search engines;query expansion;information extraction	I already know about document ranking , social network extraction , search engines , query expansion and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
nlp for biology;multilingual word embedding;neural language modeling;word segmentation;chomsky hierarchy	I already know about nlp for biology , multilingual word embedding , neural language modeling , word segmentation and chomsky hierarchy.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
sentiment analysis;neural summarization;text summarization;scientific article summarization;document representation	I already know about sentiment analysis , neural summarization , text summarization , scientific article summarization and document representation.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
graph convolutional networks;speech processing;syntaxnet;machine learning resources;topic modeling	I already know about graph convolutional networks , speech processing , syntaxnet , machine learning resources and topic modeling.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
graph convolutional networks;sentiment analysis;neural language modeling;scientific article summarization;relation extraction	I already know about graph convolutional networks , sentiment analysis , neural language modeling , scientific article summarization and relation extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
scientific article summarization;logistic regression;relation extraction	I already know about scientific article summarization , logistic regression and relation extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
sentiment analysis;social media analysis;classification;sequence classification;conditional random fields	I already know about sentiment analysis , social media analysis , classification and sequence classification and conditional random fields.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
automated essay scoring;hidden markov models;citation networks;semantic similarity;text to speech generation	I already know about automated essay scoring , hidden markov models , citation networks , semantic similarity and text to speech generation.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
graph convolutional networks;recursive neural networks;convolutional neural networks;neural networks;Autoencoders	I already know about graph convolutional networks , recursive neural networks , convolutional neural networks , neural networks and Autoencoders.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
scientific article summarization;sentence boundary recognition;word embedding variations	I already know about scientific article summarization , sentence boundary recognition and word embedding variations.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
neural summarization;text summarization;scientific article summarization	I already know about neural summarization , text summarization and scientific article summarization.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
sentiment analysis;social media analysis;sentence simplification;text summarization;citation networks	I already know about sentiment analysis , social media analysis , sentence simplification , text summarization and citation networks.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
neural question answering;recurrent neural networks;gated recurrent units	I already know about neural question answering , recurrent neural networks and gated recurrent units.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
evaluation of language modeling;neural language modeling;character level language models;text generation	I already know about evaluation of language modeling , neural language modeling , character level language models and text generation.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
bayesian network;hidden markov models;bayes theorem;course introduction	I already know about bayesian network , hidden markov models , bayes theorem and course introduction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
neural turing machine;neural question answering;recurrent neural networks;gated recurrent units	I already know about neural turing machine , neural question answering , recurrent neural networks and gated recurrent units.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
sentiment analysis;language identification;social media analysis;relation extraction;evaluation of text classification	I already know about sentiment analysis , language identification , social media analysis , relation extraction and evaluation of text classification.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
robotics;reinforcement learning;agent-based view of ai	I already know about robotics , reinforcement learning and agent-based view of ai.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
graph convolutional networks;neural question answering;neural parsing	I already know about graph convolutional networks , neural question answering and neural parsing.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
sentence simplification;word distributions;syntaxnet;relation extraction;tsne	I already know about sentence simplification , word distributions , syntaxnet , relation extraction and tsne.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
statistical machine translation;machine translation;morphology and semantics in machine translation;noisy channel model	I already know about statistical machine translation , machine translation , morphology and semantics in machine translation and noisy channel model.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
document ranking;search engines;information extraction	I already know about document ranking , search engines and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
multilingual word embedding;word embedding;word sense disambiguation;Unsupervised learning	I already know about multilingual word embedding , word embedding , word sense disambiguation and Unsupervised learning.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
neural question answering;robotics;syntaxnet;scientific article summarization;Autoencoders	I already know about neural question answering , robotics , syntaxnet , scientific article summarization and Autoencoders.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
neural question answering;robotics;recursive neural networks;convolutional neural networks;stack lstm	I already know about neural question answering , robotics , recursive neural networks , convolutional neural networks and stack lstm.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
robotics;robotic locomotion;expert systems;propositional logic;agent-based view of ai	I already know about robotics , robotic locomotion , expert systems , propositional logic and agent-based view of ai.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
social media analysis;search engines;information extraction	I already know about social media analysis , search engines and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
sentiment analysis;classification;convolutional neural networks;sequence classification and conditional random fields	I already know about sentiment analysis , classification , convolutional neural networks and sequence classification and conditional random fields.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
dimensionality reduction;latent semantic indexing;singular value decomposition;Manifold Learning;Principal Component Analysis	I already know about dimensionality reduction , latent semantic indexing , singular value decomposition , Manifold Learning and Principal Component Analysis.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
matrix factorization;latent semantic indexing;Manifold Learning;Principal Component Analysis	I already know about matrix factorization , latent semantic indexing , Manifold Learning and Principal Component Analysis.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
matrix factorization;latent semantic indexing;singular value decomposition;Manifold Learning	I already know about matrix factorization , latent semantic indexing , singular value decomposition and Manifold Learning.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
neural turing machine;multilingual word embedding;deep learning introduction;neural machine translation;stack lstm	I already know about neural turing machine , multilingual word embedding , deep learning introduction , neural machine translation and stack lstm.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
nlp for biology;social network extraction;text similarity;recommendation system;information extraction	I already know about nlp for biology , social network extraction , text similarity , recommendation system and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
planning;problem solving and search;robotic locomotion;agent-based view of ai	I already know about planning , problem solving and search , robotic locomotion and agent-based view of ai.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
memory networks;neural question answering;long short term memory networks	I already know about memory networks , neural question answering and long short term memory networks.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
toolkits for information retrieval;document ranking;search engines;text mining;image retrieval	I already know about toolkits for information retrieval , document ranking , search engines , text mining and image retrieval.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
pointer networks;graph convolutional networks;recursive neural networks;stack lstm;training neural networks	I already know about pointer networks , graph convolutional networks , recursive neural networks , stack lstm and training neural networks.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
neural summarization;seq2seq;scientific article summarization	I already know about neural summarization , seq2seq and scientific article summarization.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
nlp for biology;bayesian network;word distributions;syntaxnet;bayes theorem	I already know about nlp for biology , bayesian network , word distributions , syntaxnet and bayes theorem.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
latent dirichlet allocation;topic modeling;linear discriminant analysis	I already know about latent dirichlet allocation , topic modeling and linear discriminant analysis.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
document ranking;social network extraction;social media analysis;information retrieval;query expansion	I already know about document ranking , social network extraction , social media analysis , information retrieval and query expansion.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
social network extraction;social media analysis;citation networks;information extraction	I already know about social network extraction , social media analysis , citation networks and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
matrix factorization;singular value decomposition;Manifold Learning;Principal Component Analysis	I already know about matrix factorization , singular value decomposition , Manifold Learning and Principal Component Analysis.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
neural turing machine;multilingual word embedding;neural machine translation;stack lstm	I already know about neural turing machine , multilingual word embedding , neural machine translation and stack lstm.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
neural question answering;weakly-supervised learning;KKT conditions;Unsupervised learning	I already know about neural question answering , weakly-supervised learning , KKT conditions and Unsupervised learning.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
shallow parsing;event detection;syntaxnet;parsing	I already know about shallow parsing , event detection , syntaxnet and parsing.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
multilingual word embedding;text summarization;neural machine translation;semantic similarity	I already know about multilingual word embedding , text summarization , neural machine translation and semantic similarity.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
neural language modeling;spectral clustering;tsne;kernels	I already know about neural language modeling , spectral clustering , tsne and kernels.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
statistical machine translation;machine translation;machine translation techniques;neural machine translation;the ibm models	I already know about statistical machine translation , machine translation , machine translation techniques , neural machine translation and the ibm models.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
neural turing machine;word embedding;deep learning introduction;neural machine translation;word sense disambiguation	I already know about neural turing machine , word embedding , deep learning introduction , neural machine translation and word sense disambiguation.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).